<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20191008,100000,67.0500000,67.0500000,66.3400000,66.3400000,113224
20191008,110000,66.3200000,66.5000000,66.0300000,66.5000000,163117
20191008,120000,66.4950000,66.8400000,66.1900000,66.6500000,105768
20191008,130000,66.6500000,67.1700000,66.6000000,66.9100000,91339
20191008,140000,66.9200000,67.0300000,66.8700000,66.8700000,100957
20191008,150000,66.8900000,67.1100000,66.6300000,66.7750000,103199
20191008,160000,66.7900000,66.9700000,66.3200000,66.4250000,166816
20191009,100000,66.9000000,67.1800000,66.7900000,67.0350000,50634
20191009,110000,67.0300000,67.3600000,66.8500000,67.1200000,86032
20191009,120000,67.1600000,67.4900000,66.9700000,67.2900000,53317
20191009,130000,67.3100000,67.4200000,67.2600000,67.3750000,45015
20191009,140000,67.4200000,67.5000000,67.2100000,67.3800000,53278
20191009,150000,67.4200000,67.5600000,67.3400000,67.5200000,36954
20191009,160000,67.5400000,67.7600000,67.4100000,67.4200000,89543
20191010,100000,67.6700000,69.2700000,67.6700000,69.1000000,111790
20191010,110000,69.1100000,69.2200000,68.6200000,69.2200000,103543
20191010,120000,69.2200000,69.2900000,68.9600000,69.1800000,71272
20191010,130000,69.1700000,69.2100000,68.7800000,68.9000000,37025
20191010,140000,68.9000000,68.9000000,68.5200000,68.7200000,46225
20191010,150000,68.7500000,68.7900000,68.3900000,68.6400000,57996
20191010,160000,68.5900000,68.7600000,68.5100000,68.6600000,64922
20191011,100000,70.0600000,70.6100000,70.0400000,70.5900000,106890
20191011,110000,70.6200000,70.6800000,70.3900000,70.5200000,62367
20191011,120000,70.5200000,70.9200000,70.4100000,70.5350000,51099
20191011,130000,70.5300000,70.5800000,70.1900000,70.3950000,113089
20191011,140000,70.4000000,70.6100000,70.1700000,70.5900000,76826
20191011,150000,70.5900000,70.7100000,70.5050000,70.6400000,75318
20191011,160000,70.6200000,70.8500000,70.0200000,70.0700000,163848
20191014,100000,69.6100000,69.9800000,69.6100000,69.8700000,62361
20191014,110000,69.8800000,70.0500000,69.6500000,69.9300000,120551
20191014,120000,69.9300000,70.4100000,69.8100000,70.4000000,74576
20191014,130000,70.4000000,70.4900000,70.3150000,70.4500000,51158
20191014,140000,70.4300000,70.4700000,70.3200000,70.4600000,71498
20191014,150000,70.4650000,70.4700000,70.2600000,70.2800000,54805
20191014,160000,70.2800000,70.4600000,70.2100000,70.2200000,127451
20191015,100000,70.2500000,70.2500000,68.7500000,70.1000000,111474
20191015,110000,70.1700000,72.0700000,70.0800000,71.8400000,263180
20191015,120000,71.8600000,71.9050000,71.3600000,71.6200000,138733
20191015,130000,71.6900000,71.8400000,71.4300000,71.8200000,76509
20191015,140000,71.8200000,71.8200000,71.2500000,71.5700000,107942
20191015,150000,71.5800000,71.8300000,71.3750000,71.6500000,79824
20191015,160000,71.6500000,71.7600000,71.2500000,71.2500000,130133
20191016,100000,71.0500000,71.4400000,70.2800000,70.3300000,201959
20191016,110000,70.3000000,70.6300000,70.0100000,70.3800000,202379
20191016,120000,70.3700000,70.4100000,69.8800000,69.9800000,133719
20191016,130000,69.9700000,70.0100000,69.6300000,69.6900000,69682
20191016,140000,69.6700000,69.8450000,69.6700000,69.7000000,88104
20191016,150000,69.7200000,70.0600000,69.6350000,69.9800000,96418
20191016,160000,69.9700000,69.9900000,69.4300000,69.4900000,177218
20191017,100000,70.0900000,70.3300000,69.7800000,70.2100000,120506
20191017,110000,70.2200000,70.3250000,69.5000000,69.6200000,156665
20191017,120000,69.6000000,69.8500000,69.3100000,69.3500000,98899
20191017,130000,69.3500000,69.6100000,69.1800000,69.5550000,74161
20191017,140000,69.5600000,69.7900000,69.4000000,69.7700000,44518
20191017,150000,69.7800000,70.0300000,69.5800000,70.0200000,93120
20191017,160000,70.0200000,70.0200000,69.5500000,69.5900000,124966
20191018,100000,69.3200000,69.9400000,69.1500000,69.8500000,92204
20191018,110000,69.8500000,69.8900000,69.4500000,69.6300000,73848
20191018,120000,69.6200000,69.8900000,69.5400000,69.5400000,80198
20191018,130000,69.5300000,69.6900000,69.3300000,69.6800000,63938
20191018,140000,69.6900000,70.0900000,69.6900000,70.0600000,51077
20191018,150000,70.0600000,70.0800000,69.8300000,69.9900000,70410
20191018,160000,70.0100000,70.0200000,69.7200000,69.7600000,98592
20191021,100000,70.6600000,71.5500000,70.5800000,71.2100000,246709
20191021,110000,71.1800000,71.4900000,70.9900000,71.4900000,137481
20191021,120000,71.5000000,71.6700000,71.3350000,71.6300000,54328
20191021,130000,71.6100000,71.6200000,71.3200000,71.4100000,41711
20191021,140000,71.4000000,71.4300000,71.1800000,71.3000000,37108
20191021,150000,71.3100000,71.7000000,71.3000000,71.6400000,57977
20191021,160000,71.6400000,71.8850000,71.5700000,71.7900000,159234
20191022,100000,71.7300000,71.9800000,71.5000000,71.7400000,53690
20191022,110000,71.7400000,72.1300000,71.6550000,71.9900000,62304
20191022,120000,71.9900000,72.3650000,71.9750000,72.2850000,58162
20191022,130000,72.3100000,72.5500000,72.3000000,72.5000000,42711
20191022,140000,72.4900000,72.6750000,72.3600000,72.6650000,35750
20191022,150000,72.6600000,72.8600000,72.0700000,72.1800000,132217
20191022,160000,72.1900000,72.2900000,72.0000000,72.0500000,181665
20191023,100000,71.9800000,72.2800000,71.8000000,72.1700000,79048
20191023,110000,72.1700000,72.2550000,71.7400000,72.1600000,120713
20191023,120000,72.1700000,72.2200000,72.0550000,72.0700000,51411
20191023,130000,72.0800000,72.1800000,72.0000000,72.0100000,35933
20191023,140000,72.0100000,72.1700000,71.9500000,72.1500000,47560
20191023,150000,72.1500000,72.1600000,72.0000000,72.1400000,70038
20191023,160000,72.1350000,72.4500000,72.1300000,72.4500000,133157
20191024,100000,72.5750000,72.8600000,72.1600000,72.2700000,80768
20191024,110000,72.2600000,72.2600000,71.9800000,72.1000000,58904
20191024,120000,72.1000000,72.3700000,72.0900000,72.2500000,55205
20191024,130000,72.2500000,72.2500000,71.8700000,72.0200000,68795
20191024,140000,72.0500000,72.0900000,71.9300000,72.0900000,31714
20191024,150000,72.0600000,72.2400000,72.0500000,72.1800000,47290
20191024,160000,72.1750000,72.3200000,72.1200000,72.2900000,85168
20191025,100000,71.9800000,72.8900000,71.8100000,72.8500000,94253
20191025,110000,72.8000000,72.8300000,72.6200000,72.8300000,53934
20191025,120000,72.8200000,73.2100000,72.7800000,73.1550000,130405
20191025,130000,73.1900000,73.3600000,72.9700000,73.3250000,127247
20191025,140000,73.3250000,73.4100000,73.2700000,73.3400000,62944
20191025,150000,73.3300000,73.3900000,73.1500000,73.2900000,78262
20191025,160000,73.2600000,73.3700000,73.1400000,73.2150000,162446
20191028,100000,73.6900000,74.2700000,73.6600000,73.7300000,155578
20191028,110000,73.7200000,73.8300000,73.4500000,73.6000000,101675
20191028,120000,73.6000000,73.9300000,73.6000000,73.8600000,70765
20191028,130000,73.8800000,74.2350000,73.8100000,73.9800000,192601
20191028,140000,73.9900000,74.1500000,73.9550000,74.0700000,116697
20191028,150000,74.0900000,74.1200000,73.9900000,74.0100000,79974
20191028,160000,74.0100000,74.0300000,73.6000000,73.6000000,148579
20191029,100000,73.3100000,73.7800000,73.2400000,73.4000000,121488
20191029,110000,73.3900000,73.5200000,73.2200000,73.2300000,168142
20191029,120000,73.2700000,73.4100000,73.0450000,73.0700000,109123
20191029,130000,73.1150000,73.2500000,73.0450000,73.0450000,56937
20191029,140000,73.0400000,73.1200000,72.9600000,73.0300000,46978
20191029,150000,73.0200000,73.1000000,72.7400000,72.7500000,89170
20191029,160000,72.7450000,73.1300000,72.7350000,73.1100000,144324
20191030,100000,72.6600000,73.3500000,72.6600000,72.9300000,108925
20191030,110000,72.9300000,72.9500000,72.4550000,72.5600000,153914
20191030,120000,72.5500000,72.6000000,72.1100000,72.3400000,197026
20191030,130000,72.3200000,72.5900000,72.2600000,72.5900000,73596
20191030,140000,72.6200000,72.6500000,72.5000000,72.5900000,136049
20191030,150000,72.7500000,73.1200000,72.5800000,73.1100000,140892
20191030,160000,73.0800000,73.1750000,72.8600000,72.9600000,148059
20191031,100000,72.3600000,72.6300000,71.6600000,71.8900000,139523
20191031,110000,71.8850000,71.9300000,71.3300000,71.9300000,221599
20191031,120000,71.9000000,72.0250000,71.6700000,71.9500000,107816
20191031,130000,71.9400000,71.9500000,71.4600000,71.6000000,97780
20191031,140000,71.5800000,71.7050000,71.5100000,71.5200000,101136
20191031,150000,71.5100000,71.7000000,71.4700000,71.5800000,147734
