File	Negative	Positive	ratio neg/pos
Citigroup_2019-10-08.csv	67	119	0.56303
Citigroup_2019-10-09.csv	201	99	2.03030
Citigroup_2019-10-10.csv	57	107	0.53271
Citigroup_2019-10-11.csv	54	174	0.31035
Citigroup_2019-10-12.csv	55	92	0.59783
Citigroup_2019-10-13.csv	140	120	1.16667
Citigroup_2019-10-14.csv	54	127	0.42520
Citigroup_2019-10-15.csv	225	448	0.50223
Citigroup_2019-10-16.csv	165	186	0.88710
Citigroup_2019-10-17.csv	114	128	0.89063
Citigroup_2019-10-18.csv	88	79	1.11392
Citigroup_2019-10-19.csv	53	83	0.63855
Citigroup_2019-10-20.csv	48	72	0.66667
goldmansachs_2019-10-10.csv	87	137	0.63504
goldmansachs_2019-10-11.csv	111	89	1.24719
goldmansachs_2019-10-12.csv	123	87	1.41379
goldmansachs_2019-10-13.csv	113	66	1.71212
goldmansachs_2019-10-14.csv	121	116	1.04310
goldmansachs_2019-10-15.csv	202	168	1.20238
goldmansachs_2019-10-16.csv	151	168	0.89881
goldmansachs_2019-10-17.csv	127	210	0.60476
goldmansachs_2019-10-18.csv	114	215	0.53023
goldmansachs_2019-10-19.csv	188	247	0.76113
goldmansachs_2019-10-20.csv	154	481	0.32017
morganstanley_2019-10-08.csv	13	30	0.43333
morganstanley_2019-10-09.csv	68	73	0.93151
morganstanley_2019-10-10.csv	173	94	1.84043
morganstanley_2019-10-11.csv	292	117	2.49573
morganstanley_2019-10-12.csv	278	60	4.63333
morganstanley_2019-10-13.csv	20	48	0.41667
morganstanley_2019-10-14.csv	268	76	3.52632
morganstanley_2019-10-15.csv	138	62	2.22581
morganstanley_2019-10-16.csv	43	78	0.55128
morganstanley_2019-10-17.csv	127	168	0.75595
morganstanley_2019-10-18.csv	72	96	0.75000
morganstanley_2019-10-19.csv	49	45	1.08889
morganstanley_2019-10-20.csv	54	18	3.00000
