File	Negative	Positive	ratio neg/pos
Citigroup_2019-10-08.csv	53	133	0.39850
Citigroup_2019-10-09.csv	204	96	2.12500
Citigroup_2019-10-10.csv	71	93	0.76344
Citigroup_2019-10-11.csv	39	189	0.20635
Citigroup_2019-10-12.csv	45	102	0.44118
Citigroup_2019-10-13.csv	131	129	1.01550
Citigroup_2019-10-14.csv	51	130	0.39231
Citigroup_2019-10-15.csv	194	479	0.40501
Citigroup_2019-10-16.csv	146	205	0.71220
Citigroup_2019-10-17.csv	103	139	0.74101
Citigroup_2019-10-18.csv	50	117	0.42735
Citigroup_2019-10-19.csv	43	93	0.46237
Citigroup_2019-10-20.csv	34	86	0.39535
goldmansachs_2019-10-10.csv	96	128	0.75000
goldmansachs_2019-10-11.csv	101	99	1.02020
goldmansachs_2019-10-12.csv	62	148	0.41892
goldmansachs_2019-10-13.csv	88	91	0.96703
goldmansachs_2019-10-14.csv	93	144	0.64583
goldmansachs_2019-10-15.csv	196	174	1.12644
goldmansachs_2019-10-16.csv	159	160	0.99375
goldmansachs_2019-10-17.csv	127	210	0.60476
goldmansachs_2019-10-18.csv	114	215	0.53023
goldmansachs_2019-10-19.csv	182	253	0.71937
goldmansachs_2019-10-20.csv	157	478	0.32845
morganstanley_2019-10-08.csv	13	30	0.43333
morganstanley_2019-10-09.csv	62	79	0.78481
morganstanley_2019-10-10.csv	64	203	0.31527
morganstanley_2019-10-11.csv	111	298	0.37248
morganstanley_2019-10-12.csv	272	66	4.12121
morganstanley_2019-10-13.csv	21	47	0.44681
morganstanley_2019-10-14.csv	272	72	3.77778
morganstanley_2019-10-15.csv	52	148	0.35135
morganstanley_2019-10-16.csv	48	73	0.65753
morganstanley_2019-10-17.csv	161	134	1.20149
morganstanley_2019-10-18.csv	77	91	0.84615
morganstanley_2019-10-19.csv	44	50	0.88000
morganstanley_2019-10-20.csv	43	29	1.48276
